nome,codigo
Prefeitura de Tabatinga,1025
SAEAN,1034
DAE Jardinópolis,1064
Prefeitura de Palhoça/SC (Saneamento),1098
CORSAN - PAC - RS,1100
Águas Comodoro,1103
Águas de Itú,1105
Águas das Agulhas Negras,1113
ESAP,1119
SAE Novo Hamburgo,1128
SAAE Dois Córregos,1139
Cessão Embasa Foz de Jaguaribe,1207
Águas de Aracoiaba,1217
Águas Piquete SA,1253
BRK Ambiental Santa Gertrudes,1263
Águas de Andradina,1270
Águas de Castilho SA,1280
CEDAE,1292
CEDAE,1293
BRK Ambiental Uruguaiana,1310
BRK Ambiental Porto Ferreira,1318
CAB Cuiabá,1329
Tubarão Saneamento,1330
F.AB. Zona Oeste,1333
Águas de Votorantim,1335
São Gabriel Saneamento,1337
SAMAR Araçatuba,1345
BRK Ambiental Araguaia,1346
Itapoá Saneamento,1347
BRK Ambiental Macaé,1349
Foz Goiás Saneamento,1379
Águas de Matão,1387
Águas de São Francisco,1393
Águas de Paraty,1402
Águas de Sinop,1422
Águas de Jahu,1423
Águas de São Francisco do Sul SPE SA,1426
Odebrecht Ambiental Maranhão,1429
BRK Ambiental Sumaré,1436
Pará de Minas,1442
Águas de Timon,1443
SANESALTO Saneamento,1447
Prefeitura de Martinópolis,1452
CAEPA Companhia de Água e Esgoto,1456
Águas de Holambra,1462
Águas de Penha,1466
Águas de Camboriú Saneamento SPE Ltda,1473
EPPO Saneamento,1494
Águas de Bombinhas,1499
Prefeitura de Presidente Venceslau,1514
Companhia Ituana de Saneamento,1520
SAAE Cafelância,1534
Águas de Teresina,1535
Embasa,1550
Embasa BNDESPar,1551
Prefeitura de Américo de Campos,1577
Águe e Esgoto de Videira (Visan),1612
BRK Ambiental Caçador,1619
Ouro Preto Serviços,1658
SANEL Saneamento,1688
Águas do Rio,1698
Águas do Rio,1699
Iguá RJ,1712
Iguá RJ,1713
Ambiental Crato,1725
Saneamento Orlândia,1731
SAAE Sete Lagoas,2499
BRK Ambiental Mauá,3847
